Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Medical - Diagnostics & Research,42120795150
AA,Alcoa,Aluminum,6676003620
AACG,ATA Creativity Global,Education & Training Services,31690689
AACI,Armada Acquisition I,Shell Companies,92635942
AACT,Ares Acquisition Corporation II,Shell Companies,660625000
AADI,Aadi Bioscience,Biotechnology,53773698
AAGR,African Agriculture Holdings,Farm Products,17666734
AAL,American Airlines Group,"Airlines, Airports & Air Services",9271359120
AAMC,Altisource Asset Management,Asset Management,8710879
AAME,Atlantic American,Insurance - Life,44477014
AAN,The Aaron's Company,Rental & Leasing Services,229207160
AAOI,Applied Optoelectronics,Semiconductors,527973875
AAON,"AAON, Inc.",Construction,7040500710
AAP,Advance Auto Parts,Specialty Retail,5011812160
AAPL,Apple,Consumer Electronics,2619718335000
AAT,American Assets Trust,REIT - Diversified,1286728254
AAU,Almaden Minerals,Gold,20541984
AB,AllianceBernstein Holding L.P.,Asset Management,3878119840
ABAT,American Battery Technology Company,Industrial Materials,90798575
ABBV,AbbVie,Drug Manufacturers - General,313248125100
ABCB,Ameris Bancorp,Banks - Regional,3227852152
ABCL,AbCellera Biologics,Biotechnology,1282385160
ABEO,Abeona Therapeutics,Biotechnology,220207750
ABEV,Ambev,Beverages - Alcoholic,38586069200
ABG,Asbury Automotive Group,Auto - Dealerships,4603981124
ABIO,ARCA biopharma,Biotechnology,47128575
ABL,Abacus Life,Insurance - Life,754783380
ABLV,Able View,Advertising Agencies,79568932
ABM,ABM Industries,Specialty Business Services,2824699645
ABNB,Airbnb,Travel Services,103138750734
ABOS,Acumen Pharmaceuticals,Biotechnology,234912018
ABR,Arbor Realty Trust,REIT - Mortgage,2448679950
ABSI,Absci,Biotechnology,598888350
ABT,Abbott Laboratories,Medical Devices,193090830400
ABTS,Abits Group,Capital Markets,23800000
ABUS,Arbutus Biopharma,Biotechnology,524116640
ABVC,ABVC BioPharma,Biotechnology,13622916
ABVX,Abivax,Biotechnology,939649552
AC,Associated Capital Group,Capital Markets,689944753
ACA,Arcosa,Industrial - Infrastructure Operations,4059808280
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,117339964
ACAC,Acri Capital Acquisition,Shell Companies,60552492
ACAD,ACADIA Pharmaceuticals,Biotechnology,3035100240
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,113390949
ACBA,Ace Global Business Acquisition,Shell Companies,41630507
ACCD,Accolade,Health Information Services,724535136
ACCO,ACCO Brands,Business Equipment & Supplies,508815688
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1429964032
ACEL,Accel Entertainment,Gambling,993578616
ACET,Adicet Bio,Biotechnology,185668040
ACGL,Arch Capital Group,Insurance - Diversified,34507946730
ACHC,Acadia Healthcare Company,Medical Care Facilities,6997359562
ACHL,Achilles Therapeutics,Biotechnology,48939538
ACHR,Archer Aviation,Aerospace & Defense,1369634868
ACHV,Achieve Life Sciences,Biotechnology,157216221
ACI,Albertsons Companies,Grocery Stores,12229329200
ACIC,American Coastal Insurance,Insurance - Property & Casualty,503320520
ACIU,AC Immune,Biotechnology,277753840
ACIW,ACI Worldwide,Software - Infrastructure,3461614890
ACLS,Axcelis Technologies,Semiconductors,3492918041
ACLX,Arcellx,Biotechnology,3336746384
ACM,AECOM,Engineering & Construction,13300426720
ACMR,ACM Research,Semiconductors,1906775387
ACN,Accenture,Information Technology Services,208914072120
ACNB,ACNB Corporation,Banks - Regional,296665213
ACNT,Ascent Industries Co.,Steel,106722770
ACON,Aclarion,Medical - Healthcare Information Services,2309150
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,2471779
ACR,ACRES Commercial Realty,REIT - Mortgage,109019847
ACRE,Ares Commercial Real Estate,REIT - Mortgage,390754268
ACRS,Aclaris Therapeutics,Diagnostics & Research,88656250
ACRV,Acrivon Therapeutics,Biotechnology,147814085
ACST,Acasti Pharma,Biotechnology,31769972
ACT,Enact Holdings,Insurance - Specialty,4895783930
ACTG,Acacia Research,Specialty Business Services,535390568
ACU,Acme United,Household & Personal Products,169793416
ACVA,ACV Auctions,Auto - Dealerships,3033632628
ACXP,Acurx Pharmaceuticals,Biotechnology,28936400
ADAG,Adagene,Biotechnology,127938346
ADAP,Adaptimmune Therapeutics,Biotechnology,313491863
ADBE,Adobe,Software - Infrastructure,224648520000
ADC,Agree Realty,REIT - Retail,5659219700
ADCT,ADC Therapeutics,Biotechnology,365606128
ADD,Color Star Technology Co.,Entertainment,2207789
ADEA,Adeia,Software - Application,1115667600
ADI,Analog Devices,Semiconductors,96880586880
ADIL,Adial Pharmaceuticals,Biotechnology,2062641
ADM,Archer-Daniels-Midland Company,Agricultural Farm Products,31942039850
ADMA,ADMA Biologics,Biotechnology,1449197000
ADN,Advent Technologies Holdings,Renewable Utilities,12127217
ADNT,Adient,Auto Parts,2904356997
ADP,Automatic Data Processing,Staffing & Employment Services,100697197830
ADPT,Adaptive Biotechnologies,Biotechnology,388846560
ADRT,Ault Disruptive Technologies,Shell Companies,39954804
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,504834792
ADSK,Autodesk,Software - Application,52704377700
ADT,ADT Inc.,Security & Protection Services,5439396600
ADTH,AdTheorent Holding Company,Advertising Agencies,294529932
ADTN,ADTRAN Holdings,Communication Equipment,420252660
ADTX,Aditxt,Biotechnology,6061066
ADUS,Addus HomeCare,Medical Care Facilities,1664758707
ADV,Advantage Solutions,Advertising Agencies,1393857450
ADVM,Adverum Biotechnologies,Biotechnology,277077915
ADXN,Addex Therapeutics,Biotechnology,21156903
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,72559196
AEAE,AltEnergy Acquisition,Shell Companies,79516173
AEE,Ameren,Regulated Electric,19479040350
AEG,Aegon,Insurance - Diversified,10746523783
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,7956781
AEHR,Aehr Test Systems,Semiconductors,334650720
AEI,Alset EHome International,Real Estate - Development,5919712
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3704113152
AEL,American Equity Investment Life Holding Company,Insurance - Life,4455928000
AEM,Agnico Eagle Mines,Gold,30734740494
AEMD,Aethlon Medical,Medical Devices,4533292
AENT,Alliance Entertainment Holding,Entertainment,104408140
AEO,American Eagle Outfitters,Apparel Retail,4958203800
AEON,AEON Biopharma,Biotechnology,305712201
AEP,American Electric Power Company,Regulated Electric,44373180966
AER,AerCap Holdings,Rental & Leasing Services,18248922000
AERT,Aeries Technology,Consulting Services,37000000
AES,The AES Corporation,Diversified Utilities,12714137300
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,3472641187
AEVA,Aeva Technologies,Auto Parts,208950984
AEYE,AudioEye,Software - Application,118123540
AEZS,Aeterna Zentaris,Biotechnology,10197348
AFAR,Aura FAT Projects Acquisition,Shell Companies,64118964
AFBI,Affinity Bancshares,Banks - Regional,101767752
AFCG,AFC Gamma,REIT - Specialty,249038555
AFG,American Financial Group,Insurance - Property & Casualty,11138718738
AFIB,Acutus Medical,Medical Devices,5265893
AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",Shell Companies,92967800
AFL,Aflac,Insurance - Life,49149541440
AFMD,Affimed,Biotechnology,99459774
AFRI,Forafric Global,Agricultural Farm Products,277123521
AFRM,Affirm Holdings,Software - Infrastructure,10329383182
AFYA,Afya Limited,Education & Training Services,1724500109
AG,First Majestic Silver,Silver,2157067260
AGAE,Allied Gaming & Entertainment,Entertainment,34079498
AGBA,AGBA Acquisition,Shell Companies,27442987
AGCO,AGCO Corporation,Agricultural - Machinery,8999664919
AGEN,Agenus,Biotechnology,222069492
AGFY,Agrify,Engineering & Construction,2734909
AGI,Alamos Gold,Gold,5896017060
AGIO,Agios Pharmaceuticals,Biotechnology,1582385376
AGL,agilon health,Medical Care Facilities,1945324500
AGM,Federal Agricultural Mortgage,Financial - Credit Services,1996416070
AGM.A,Federal Agricultural Mortgage,Financial - Credit Services,1880728071
AGMH,AGM Group Holdings,Software - Application,39292776
AGNC,AGNC Investment,REIT - Mortgage,6741187650
AGO,Assured Guaranty,Insurance - Specialty,4703400240
AGR,Avangrid,Regulated Electric,13904741000
AGRI,AgriFORCE Growing Systems,Farm Products,890664
AGRO,Adecoagro,Agricultural Farm Products,1169246180
AGS,PlayAGS,Gambling,344373550
AGTI,Agiliti,Medical - Healthcare Information Services,1366408050
AGX,Argan,Engineering & Construction,665861884
AGYS,Agilysys,Software - Application,2246012496
AHCO,AdaptHealth,Medical Devices,1490742700
AHG,Akso Health Group,Financial - Credit Services,25152618
AHH,Armada Hoffler Properties,REIT - Diversified,692646521
AHI,Advanced Human Imaging,Software - Application,13159982
AHR,American Healthcare REIT,REIT - Healthcare Facilities,1673140338
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,51512760
AI,C3.ai,Information Technology Services,3002846170
AIB,AIB Acquisition,Shell Companies,41791129
AIG,American International Group,Insurance - Diversified,52978221200
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,20022621
AIHS,Senmiao Technology,Financial - Credit Services,8515556
AIM,AIM ImmunoTech,Biotechnology,23258418
AIMAU,Aimfinity Investment I,Shell Companies,27695
AIMD,Ainos,Biotechnology,7026098
AIN,Albany International,Apparel - Manufacturers,2782416000
AINC,Ashford,Asset Management,16091765
AIP,Arteris,Semiconductors,284251142
AIR,AAR Corp.,Aerospace & Defense,2087719003
AIRC,Apartment Income REIT,REIT - Residential,4547495460
AIRE,reAlpha Tech,Real Estate Services,50299194
AIRG,Airgain,Communication Equipment,57880346
AIRI,Air Industries Group,Aerospace & Defense,17076769
AIRJ,Montana Technologies,Shell Companies,80438580
AIRS,AirSculpt Technologies,Medical Care Facilities,320990350
AIRT,Air T,Integrated Freight & Logistics,59539058
AISP,Airship AI Holdings,Software - Infrastructure,250703880
AIT,Applied Industrial Technologies,Industrial Distribution,7550219875
AITR,AI TRANSPORTATION ACQUISITION CORP,Shell Companies,82885070
AIU,Meta Data,Education & Training Services,45430000
AIV,Apartment Investment and Management Company,REIT - Residential,1151255400
AIXI,Xiao-I,Software - Application,123932850
AIZ,Assurant,Insurance - Specialty,9614296672
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,53196216000
AJX,Great Ajax,REIT - Mortgage,103799556
AKA,a.k.a. Brands Holding,Internet Retail,105010370
AKAM,Akamai Technologies,Software - Infrastructure,16225832400
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,1509182
AKBA,Akebia Therapeutics,Biotechnology,311964280
AKLI,Akili,Health Information Services,19837681
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,2236905985
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2435845280
AKR,Acadia Realty Trust,REIT - Retail,1678176080
AKRO,Akero Therapeutics,Biotechnology,1598203050
AKTS,Akoustis Technologies,Communication Equipment,58175770
AKTX,"Akari Therapeutics,",Biotechnology,10256593
AKYA,Akoya Biosciences,Medical Instruments & Supplies,212779231
AL,Air Lease,Rental & Leasing Services,5600201880
ALAB,Astera Labs,Semiconductors,10564915398
ALAR,Alarum Technologies,Software - Infrastructure,147594044
ALB,Albemarle,Specialty Chemicals,15143513700
ALBT,Avalon GloboCare,Real Estate Services,3409845
ALC,Alcon,Medical Instruments & Supplies,41476664000
ALCC,AltC Acquisition,Shell Companies,554278661
ALCE,Alternus Energy Group,Utilities - Renewable,38348272
ALCO,Alico,Farm Products,221154745
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,158313027
ALDX,Aldeyra Therapeutics,Biotechnology,244417570
ALE,ALLETE,Diversified Utilities,3440873232
ALEC,Alector,Biotechnology,563963377
ALEX,Alexander & Baldwin,REIT - Diversified,1164377284
ALG,Alamo Group,Agricultural - Machinery,2642044317
ALGM,Allegro MicroSystems,Semiconductors,4971063240
ALGN,Align Technology,Medical Devices,23290532451
ALGS,Aligos Therapeutics,Biotechnology,73301962
ALGT,Allegiant Travel Company,"Airlines, Airports & Air Services",1212639080
ALHC,Alignment Healthcare,Healthcare Plans,844731660
ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,206799880
ALIT,Alight,Software - Application,5176143000
ALK,Alaska Air Group,"Airlines, Airports & Air Services",5278932120
ALKS,Alkermes,Biotechnology,4399111080
ALKT,Alkami Technology,Software - Application,2260294912
ALL,The Allstate Corporation,Insurance - Property & Casualty,45621079140
ALLE,Allegion,Security & Protection Services,11511652512
ALLG,Allego,Auto Parts,355346740
ALLK,Allakos,Biotechnology,112478720
ALLO,Allogene Therapeutics,Biotechnology,691586280
ALLR,Allarity Therapeutics,Biotechnology,1442771
ALLT,Allot,Software - Infrastructure,90666720
ALLY,Ally Financial,Financial - Credit Services,11866559360
ALNT,Allient,Electronic Components,554714019
ALNY,Alnylam Pharmaceuticals,Biotechnology,18996435180
ALOT,AstroNova,Computer Hardware,131783544
ALPN,Alpine Immune Sciences,Biotechnology,2497961833
ALPP,Alpine 4 Holdings,Metal Fabrication,20301214
ALRM,Alarm.com Holdings,Software - Application,3522135504
ALRN,Aileron Therapeutics,Biotechnology,28531378
ALRS,Alerus Financial,Banks - Regional,416072824
ALSA,Alpha Star Acquisition,Shell Companies,139002139
ALSN,Allison Transmission Holdings,Auto Parts,7168135098
ALT,Altimmune,Biotechnology,658617337
ALTG,Alta Equipment Group,Rental & Leasing Services,431719064
ALTI,AlTi Global,Asset Management,580033565
ALTM,Arcadium Lithium,Specialty Chemicals,4695118386
ALTO,Alto Ingredients,Specialty Chemicals,172589388
ALTR,Altair Engineering,Software - Infrastructure,6901854714
ALUR,Allurion Technologies,Medical Devices,82784306
ALV,Autoliv,Auto Parts,9793562850
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,3119149180
ALVR,AlloVir,Biotechnology,87554759
ALX,Alexander's,REIT - Retail,1102459619
ALXO,ALX Oncology Holdings,Biotechnology,541642680
ALZN,Alzamend Neuro,Biotechnology,6077162
AM,Antero Midstream,Oil & Gas Midstream,6879442920
AMAL,Amalgamated Financial,Banks - Regional,703546764
AMAT,Applied Materials,Semiconductors,172311419860
AMBA,Ambarella,Semiconductors,2033773230
AMBC,Ambac Financial Group,Insurance - Specialty,716799044
AMBI,Ambipar Emergency Response,Waste Management,296549708
AMBO,Ambow Education Holding,Education & Training Services,4741584
AMBP,Ardagh Metal Packaging,Packaging & Containers,2079769800
AMC,AMC Entertainment Holdings,Entertainment,795099560
AMCR,Amcor,Packaging & Containers,13268221200
AMCX,AMC Networks,Entertainment,510105165
AMD,Advanced Micro Devices,Semiconductors,292086358300
AME,AMETEK,Industrial - Machinery,41838764430
AMED,Amedisys,Medical Care Facilities,3025673112
AMG,Affiliated Managers Group,Asset Management,5453330889
AMGN,Amgen,Drug Manufacturers - General,147066891980
AMH,American Homes 4 Rent,REIT - Residential,13128508560
AMIX,Autonomix Medical,Medical Devices,51730525
AMK,AssetMark Financial Holdings,Asset Management,2547401975
AMKR,Amkor Technology,Semiconductors,7703796360
AMLI,American Lithium,Industrial Materials,154337664
AMLX,Amylyx Pharmaceuticals,Biotechnology,178267028
AMN,AMN Healthcare Services,Medical Care Facilities,2209278435
AMNB,American National Bankshares,Banks - Regional,497644872
AMP,Ameriprise Financial,Asset Management,44767513720
AMPE,Ampio Pharmaceuticals,Biotechnology,766458
AMPG,AmpliTech Group,Communication Equipment,21117900
AMPH,Amphastar Pharmaceuticals,Drug Manufacturers - Specialty & Generic,2017142046
AMPL,Amplitude,Software - Application,1263162518
AMPS,Altus Power,Utilities - Renewable,755634750
AMPX,Amprius Technologies,Electrical Equipment & Parts,202427138
AMPY,Amplify Energy,Oil & Gas Exploration & Production,281423239
AMR,Alpha Metallurgical Resources,Coal,4164639354
AMRC,Ameresco,Engineering & Construction,1228126378
AMRK,A-Mark Precious Metals,Capital Markets,736663202
AMRN,Amarin Corporation,Biotechnology,433353539
AMRX,Amneal Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1857494984
AMS,American Shared Hospital Services,Medical Care Facilities,18396630
AMSC,American Superconductor,Specialty Industrial Machinery,471218656
AMSF,AMERISAFE,Insurance - Specialty,925942650
AMST,Amesite,Software - Application,5720490
AMSWA,American Software,Software - Application,364424804
AMT,American Tower,REIT - Specialty,89684153120
AMTB,Amerant Bancorp,Banks - Regional,832361547
AMTD,AMTD IDEA Group,Asset Management,3244757526
AMTX,Aemetis,Oil & Gas Refining & Marketing,213729083
AMWD,American Woodmark,"Furnishings, Fixtures & Appliances",1605287343
AMWL,American Well,Health Information Services,218874784
AMX,América Móvil,Telecommunications Services,57645495000
AMZN,Amazon.com,Internet Retail,1894765634000
AN,AutoNation,Auto - Dealerships,6667451770
ANAB,AnaptysBio,Biotechnology,554531432
ANDE,The Andersons,Food Distribution,1899683645
ANEB,Anebulo Pharmaceuticals,Biotechnology,74557950
ANET,Arista Networks,Computer Hardware,93411912860
ANF,Abercrombie & Fitch Co.,Apparel Retail,6589511015
ANGH,Anghami,Entertainment,27626945
ANGI,Angi Inc.,Internet Content & Information,1189820808
ANGO,AngioDynamics,Medical Instruments & Supplies,242319616
